FrameCounter,RunTime,CameraPositionX,CameraPositionY,CameraPositionZ,CameraDirectionX,CameraDirectionY,CameraDirectionZ,CameraVelocityX,CameraVelocityY,CameraVelocityZ
163,3.750721,0.05694339,0.7176574,0.005942119,349.4771,8.777685,3.622763,-0.0188047,-0.06536056,-0.215174
164,3.770993,0.05644386,0.7165562,0.00117969,349.7947,9.305552,3.559434,-0.02464136,-0.05432456,-0.234929
165,3.797265,0.05646774,0.7157335,-0.002444943,350.0058,9.860595,3.333817,0.0009089331,-0.03131608,-0.1379678
166,3.815174,0.05672701,0.7150994,-0.005386895,350.1074,10.64176,2.695687,0.01447719,-0.03540524,-0.1642718
167,3.841526,0.05713378,0.714778,-0.007958851,350.258,11.6539,1.886309,0.01543599,-0.012196,-0.0976003
168,3.85978,0.05795681,0.7145976,-0.01001935,350.4309,12.72071,1.239521,0.04508708,-0.009883888,-0.1128776
169,3.882008,0.05919364,0.7146018,-0.01143643,350.4481,13.64941,1.042496,0.05564228,0.0001903853,-0.06375137
170,3.909163,0.0608752,0.7148011,-0.0124494,350.4832,14.54193,0.6733882,0.061926,0.007338028,-0.03730417
171,3.929778,0.06266561,0.7148531,-0.01335364,350.5161,15.77996,0.03729317,0.0868477,0.002524055,-0.0438621
172,3.951377,0.06475689,0.7149231,-0.01397061,350.5323,17.1902,359.3756,0.09682494,0.003242596,-0.0285652
173,3.970281,0.06729792,0.7149479,-0.01486412,350.5773,18.22116,359.2102,0.1344177,0.001311657,-0.04726568
174,3.997605,0.06988988,0.714965,-0.0156093,350.6606,18.89779,359.7072,0.09486034,0.000623882,-0.02727231
175,4.019378,0.07267164,0.7149837,-0.01620775,350.658,19.22614,0.6452236,0.1277615,0.0008595863,-0.02748542
176,4.037429,0.07558057,0.7146875,-0.01678588,350.6411,19.03914,1.993715,0.1611493,-0.01641087,-0.03202762
177,4.059535,0.07860536,0.7147722,-0.01760385,350.7209,18.40705,3.367427,0.13683,0.003834124,-0.03700203
178,4.084233,0.08196776,0.7147111,-0.0177444,350.7893,17.52998,4.518906,0.1361393,-0.00247606,-0.005690443
179,4.104778,0.08557995,0.7147466,-0.01764457,350.8237,16.84714,5.076207,0.1758221,0.00172914,0.004859217
180,4.131746,0.08987393,0.7144611,-0.017258,350.7818,16.38262,4.993492,0.1592224,-0.01058667,0.0143342
181,4.152035,0.09465916,0.7141294,-0.01636288,350.7499,16.13651,4.283412,0.2358542,-0.01634586,0.04411843
182,4.171816,0.1000667,0.7138659,-0.0152483,350.6259,16.16643,3.306859,0.2733737,-0.01332172,0.05634683
183,4.193771,0.106415,0.7134503,-0.01359606,350.4881,16.34086,2.118823,0.289146,-0.01893026,0.07525415
184,4.216496,0.1139961,0.7129283,-0.01126431,350.3412,16.46556,0.9261879,0.3336132,-0.02297192,0.1026113
185,4.243059,0.1224052,0.7122051,-0.00893384,350.1414,16.60178,359.9713,0.3165647,-0.02722679,0.08773145
186,4.260914,0.1313695,0.7115937,-0.007066973,350.1087,16.84257,359.5485,0.5020589,-0.03424022,0.1045561
187,4.283228,0.1413801,0.7110826,-0.005072381,350.2219,17.15765,359.3649,0.4486214,-0.0229026,0.08938721
188,4.308182,0.1521022,0.7106439,-0.0033258,350.2704,17.73424,359.3595,0.4296856,-0.01758279,0.06999381
189,4.328226,0.1636111,0.7104195,-0.00184418,350.4083,18.52732,359.3728,0.574173,-0.01119279,0.07391716
190,4.356463,0.1758978,0.7103986,-0.0003335313,350.5384,19.57568,359.7147,0.435129,-0.0007430299,0.05349917
191,4.373833,0.1888326,0.7107217,0.0009031235,350.5236,20.6232,0.06674825,0.7446734,0.01860571,0.0711959
192,4.394462,0.2025342,0.7112339,0.001915756,350.474,21.61741,0.6009856,0.6641768,0.0248278,0.04908683
193,4.416906,0.2167166,0.7122822,0.002945382,350.3567,22.60614,1.162203,0.6319115,0.04670636,0.0458758
194,4.44168,0.2312396,0.7132565,0.003579673,350.1607,23.72161,1.627511,0.5862039,0.03932654,0.02560255
195,4.465131,0.2461928,0.7139674,0.003771001,350.12,24.77345,1.970615,0.6376521,0.03031782,0.008158811
196,4.483209,0.2610789,0.7147657,0.003452054,350.1417,25.8315,2.551879,0.8234222,0.04415372,-0.01764247
197,4.5057,0.2763782,0.7158831,0.002899091,350.214,26.85863,3.293383,0.6802452,0.04968251,-0.02458601
198,4.52839,0.2927888,0.7169385,0.002782995,350.2078,27.64795,4.081815,0.7232413,0.04651413,-0.005116543
199,4.552938,0.3091629,0.7182884,0.002374448,350.1962,28.42988,5.065891,0.6670358,0.05499223,-0.01664307
200,4.577612,0.3250132,0.7200502,0.001498185,350.1461,29.25338,6.542884,0.6423905,0.07140062,-0.0355137
201,4.595895,0.3414855,0.7214853,0.001449473,349.7383,30.07636,7.907161,0.9009669,0.07849747,-0.002664343
202,4.62064,0.3577083,0.7224988,0.001530033,349.3345,30.93803,9.047049,0.6556008,0.04095608,0.003255585
203,4.642537,0.3724732,0.723135,0.0006401502,349.1999,32.0298,10.14228,0.6742765,0.0290547,-0.04063888
204,4.6633,0.3865406,0.7231051,-0.0002703927,349.2028,33.11088,11.42015,0.6775412,-0.001438266,-0.04385529
205,4.691502,0.3987621,0.7226234,-0.001676876,349.1789,34.22627,12.93133,0.4333481,-0.0170809,-0.04987082
206,4.717242,0.415821,0.7215424,-0.003692098,349.1481,35.80444,14.93251,0.6627455,-0.04199703,-0.07829245
207,4.739511,0.4251229,0.7203225,-0.00532737,349.266,36.69886,16.20914,0.4177016,-0.05477817,-0.07343185
208,4.763761,0.432546,0.7188115,-0.006873965,349.4832,37.49694,17.58065,0.3061094,-0.06231074,-0.06377704
209,4.78898,0.4382104,0.7171693,-0.008367375,349.6902,38.23925,18.68209,0.2246133,-0.06511997,-0.05921883
210,4.806588,0.4419327,0.7153498,-0.009666398,349.9261,39.00151,19.31811,0.2113911,-0.1033294,-0.07377193
211,4.828969,0.4435517,0.7134601,-0.01061641,350.1521,39.61438,19.77977,0.07233366,-0.08443233,-0.04244686
212,4.852067,0.4433044,0.7115978,-0.01129594,350.3149,39.97528,20.07838,-0.01070396,-0.08062552,-0.02941913
213,4.875206,0.4411841,0.7096859,-0.0115797,350.4471,40.2732,19.98686,-0.09163386,-0.08262581,-0.0122634
214,4.900697,0.4364491,0.7081083,-0.01152698,350.5775,40.41238,19.95205,-0.1857556,-0.06188971,0.002068212
215,4.918556,0.4297458,0.7068821,-0.01084924,350.8721,40.29161,19.85612,-0.3753555,-0.06866122,0.03795066
216,4.943027,0.4215603,0.7061851,-0.009649139,351.196,39.93936,19.56855,-0.3344842,-0.02848249,0.04904014
217,4.963582,0.4115191,0.705793,-0.007834505,351.1691,39.46634,18.96538,-0.4885181,-0.01907797,0.08828382
